date,startdate,enddate,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
2023-05-10,2023-05-10 03:09:S.000000,2023-05-10 09:05:S.000000,2023-05-10 09:06:S.000000,2023-05-10 11:08:S.000000,960,1,600,6720,0,21360,20400,0.96,600,0,360,5,0,9180,4500
2023-05-11,2023-05-11 01:49:S.000000,2023-05-11 09:59:S.000000,2023-05-11 07:59:S.000000,2023-05-11 12:02:S.000000,3660,2,1440,3420,780,28680,25020,0.87,1440,780,2160,2,1,18000,3600
2023-05-12,2023-05-12 02:00:S.000000,2023-05-12 11:08:S.000000,2023-05-12 06:32:S.000000,2023-05-12 13:11:S.000000,4140,3,2640,5160,0,32580,28440,0.87,2640,0,1800,5,1,19080,4200
