date,startdate,enddate,created,modified,wakeupduration,wakeupcount,durationtosleep,remsleepduration,durationtowakeup,total_timeinbed,total_sleep_time,sleep_efficiency,sleep_latency,wakeup_latency,waso,nb_rem_episodes,out_of_bed_count,lightsleepduration,deepsleepduration
2023-05-13,2023-05-13 01:13:S.000000,2023-05-13 07:57:S.000000,2023-05-13 06:58:S.000000,2023-05-13 10:00:S.000000,2100,3,1140,3240,0,24120,22020,0.91,1140,0,1080,3,1,14040,4740
2023-05-13,2023-05-13 18:05:S.000000,2023-05-13 20:09:S.000000,2023-05-13 20:11:S.000000,2023-05-13 22:12:S.000000,5640,2,1680,0,540,7440,1800,0.24,1680,540,3420,0,0,1800,0
2023-05-14,2023-05-13 22:33:S.000000,2023-05-14 08:35:S.000000,2023-05-14 00:26:S.000000,2023-05-14 11:29:S.000000,5820,3,4080,5940,0,35400,29580,0.84,4080,0,2460,7,2,16200,7440
2023-05-15,2023-05-15 01:04:S.000000,2023-05-15 07:36:S.000000,2023-05-15 07:38:S.000000,2023-05-15 09:39:S.000000,2700,0,1440,6360,1260,23520,20820,0.89,1440,1260,0,2,0,9120,5340
